Ri/t,Ar/t ,a/t ,M 1pc ,M p2c
200,16,0.6,463.529,378.446
200,16,0.8,670.028,468.11
200,32,0.1,330.53,326.493
200,32,0.2,313.114,303.48
200,32,0.4,369.008,335.703
200,32,0.6,502.465,409.708
200,32,0.8,685.282,485.817
300,1,0.1,219.626,217.842
300,1,0.2,229.605,224.306
300,1,0.4,322.659,304.104
300,1,0.6,532.144,460.036
300,1,0.8,955.006,691.338
300,2,0.1,238.716,237.289
300,2,0.2,246.132,241.842
300,2,0.4,340.143,320.429
300,2,0.6,553.121,475.768
300,2,0.8,976.452,703.323
300,4,0.1,282.843,281.077
300,4,0.2,284.925,279.572
300,4,0.4,378.344,354.437
300,4,0.6,594.759,507.204
300,4,0.8,1006.246,720.786
300,8,0.1,330.278,327.755
300,8,0.2,326.495,319.091
300,8,0.4,421.111,392.473
300,8,0.6,644.305,543.771
300,8,0.8,1047.281,743.266
300,16,0.1,397.141,393.356
300,16,0.2,386.084,376.539
300,16,0.4,480.278,444.954
300,16,0.6,708.066,591.154
300,16,0.8,1098.128,772.214
300,32,0.1,475.863,471.069
300,32,0.2,454.952,443.355
300,32,0.4,547.772,505.32
300,32,0.6,778.832,645.85
300,32,0.8,1140.055,804.194
