t/Ri ,a/t,G0 inside,G1 inside,G2 inside,G3 inside,G4 inside,G0 outside,G1 outside,G2 outside,G3 outside,G4outside
2,0.2,0.960303,0.623235,0.492914,0.419883,0.37179,0,0,0,0,0
2,0.4,0.942151,0.621145,0.493395,0.420925,0.372918,0,0,0,0,0
2,0.6,1.025808,0.666248,0.523105,0.442473,0.389494,0,0,0,0,0
2,0.8,1.327371,0.826514,0.628977,0.519682,0.44921,0,0,0,0,0
2.5,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
2.5,0.2,0.929166,0.611376,0.486316,0.415552,0.36867,0,0,0,0,0
2.5,0.4,0.903373,0.606393,0.485205,0.415563,0.369067,0,0,0,0,0
2.5,0.6,0.980169,0.649222,0.513779,0.43643,0.385187,0,0,0,0,0
2.5,0.8,1.269478,0.805781,0.617961,0.51271,0.444336,0,0,0,0,0
3,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
3,0.2,0.903861,0.601739,0.480956,0.412036,0.366139,0,0,0,0,0
3,0.4,0.874241,0.595289,0.479035,0.411523,0.366163,0,0,0,0,0
3,0.6,0.94689,0.636771,0.50695,0.432,0.382028,0,0,0,0,0
3,0.8,1.227317,0.790649,0.60991,0.507612,0.44077,0,0,0,0,0
