t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0,0.5,0.2,0.9003948,0.1404409,0.9003948,0,-0.8850488,0.3215397,-0.8850488,0,5.2743239,1.1010666,5.2743239,0,-11.267523,-1.0257556,-11.267523,0,13.890755,0.694394,13.890755,0,-9.6373584,-1.0793186,-9.6373584,0,2.8183906,0.5410929,2.8183906,0
0,0.5,0.4,1.005806,0.174087,0.900059,0,-0.73226,0.305163,-0.5476,0,2.995194,1.207031,2.441677,0,-1.94592,-0.67205,-1.26885,0,-3.26135,-1.06513,-3.38153,0,5.142457,1.144559,4.786857,0,-2.03062,-0.36448,-1.83739,0
0,0.5,0.6,1.182601,0.227712,1.182601,0,-1.10725,0.170117,-1.10725,0,3.962364,1.549947,3.962364,0,-2.77813,-1.10512,-2.77813,0,-4.30973,-0.83337,-4.30973,0,7.277275,1.171706,7.277275,0,-2.96482,-0.41945,-2.96482,0
0,0.5,0.8,1.383338,0.282011,1.383338,0,-1.39003,0.083923,-1.39003,0,4.375578,1.725858,4.375578,0,-3.73726,-1.53581,-3.73726,0,-2.54032,-0.06356,-2.54032,0,5.3036,0.500678,5.3036,0,-2.09324,-0.19822,-2.09324,0
0,1,0,1.1977992,0.1870117,1.197799,0,-0.524487,0.6987352,-0.524487,0,0.1498299,0.13169,0.14983,0,2.3284866,0.7269255,2.328487,0,-5.1058499,-2.5259384,-5.10585,0,4.3469049,2.1756251,4.346905,0,-1.348798,-0.6540458,-1.348798,0
0,1,0.2,1.2263282,0.2154786,1.2263282,0,-1.1608467,0.2441623,-1.1608467,0,4.4744783,2.810782,4.4744783,0,-11.584231,-7.657458,-11.584231,0,17.811241,11.171413,17.811241,0,-14.40825,-9.0053693,-14.40825,0,4.6998279,2.9542871,4.6998279,0
0,1,0.4,1.298948,0.2386246,1.298948,0,-0.9978,0.1447774,-0.9978,0,1.947954,3.3198992,1.947954,0,-1.30027,-9.2456599,-1.30027,0,-1.49401,13.823512,-1.49401,0,2.830623,-11.223715,2.830623,0,-1.2126,3.6868232,-1.2126,0
0,1,0.6,1.397118,0.244587,1.397118,0,-1.13484,0.532667,-1.13484,0,1.791874,0.593969,1.791874,0,-0.42026,-0.03618,-0.42026,0,-2.86793,-2.01631,-2.86793,0,3.768548,2.216701,3.768548,0,-1.4405,-0.77822,-1.4405,0
0,1,0.8,1.511701,0.270447,1.511701,0,-1.32448,0.511328,-1.32448,0,1.756835,0.535744,1.756835,0,-0.13379,-0.03273,-0.13379,0,-2.86293,-1.55702,-2.86293,0,3.295327,1.557097,3.295327,0,-1.14124,-0.50946,-1.14124,0
0,2,0,0.8150546,0.1359146,0.815055,0,-0.5623828,0.070234,-0.562383,0,1.4465771,3.5558581,1.446577,0,-4.6778133,-11.034445,-4.677813,0,8.4192164,16.967724,8.419216,0,-7.9025932,-14.126991,-7.902593,0,2.9866351,4.8706612,2.986635,0
