t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A4, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0,0.03125,0.2,0.208076,0.0084834,3.0112422,0.2406767,-5.1048701,2.4574292,7.6348715,-3.6452421,-6.8347547,3.6142837,2.7940766,-2.8451814,-0.3882688,0.9270638
0,0.03125,0.4,0.235794,0.014514,3.08224,0.4038,-3.57921,1.64227,3.947689,-0.39061,1.913159,-0.64807,-6.88722,-0.29403,3.18968,0.25149
0,0.03125,0.6,0.290224,0.020889,3.689205,0.701678,-4.57391,0.163184,11.70989,5.707216,-6.375,-8.20758,-5.88941,3.456112,4.24524,-0.44547
0,0.03125,0.8,0.516355,0.082546,2.531083,0.497177,14.7129,4.606481,-43.6218,-7.33267,101.0657,21.14862,-116.081,-29.3451,46.1909,12.4914
0,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0,0.0625,0.2,0.2845892,0.0199077,2.2264055,0.2210874,-1.454619,2.4642047,-1.5760719,-3.5898625,5.1131083,3.1624039,-4.9485443,-2.240378,1.6207574,0.6965751
0,0.0625,0.4,0.326148,0.029412,2.520087,0.369937,-1.8847,1.922085,2.179874,-1.20715,-1.45971,-0.4394,-0.18865,0.273755,0.23934,-0.03952
0,0.0625,0.6,0.416633,0.059846,3.156647,0.434074,-2.62489,2.681156,7.732591,-3.19366,-9.69278,4.075372,3.64287,-4.69402,-0.0892,1.82855
0,0.0625,0.8,0.654014,0.121478,3.423192,0.697549,3.815805,2.971833,-4.15869,-1.30365,3.471533,-0.07549,-10.3104,-3.04651,6.628,2.167
0,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0,0.125,0.2,0.4242116,0.0429859,1.0089302,0.2033811,3.2973815,2.2563818,-12.159726,-2.875216,17.873386,1.8152558,-12.868668,-1.0512327,3.6281712,0.3181077
0,0.125,0.4,0.491777,0.063427,1.659232,0.37225,-0.10804,1.623167,0.179324,-0.53065,-2.70761,-2.00074,3.368062,1.894378,-1.34897,-0.58803
0,0.125,0.6,0.659182,0.111604,1.875914,0.47145,1.02126,1.794059,-1.7698,-0.75576,-0.56536,-1.49017,1.247996,1.085218,-0.43766,-0.21137
0,0.125,0.8,0.980933,0.203995,1.884632,0.480015,4.802078,2.882243,-8.05802,-2.58901,0.444785,-0.9683,3.477266,1.537237,-1.05675,-0.37502
0,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0,0.25,0.2,0.6385889,0.0840059,-0.3095132,0.1999367,6.5329787,1.8218113,-16.622882,-1.7756899,21.056641,0.3757186,-13.85012,-0.0785358,3.6988146,0.0643386
0,0.25,0.4,0.739042,0.11645,0.054816,0.247988,4.084262,1.828252,-7.58831,-1.71699,5.404753,0.191212,-1.01461,0.116577,-0.34834,-0.01861
0,0.25,0.6,0.946121,0.177805,-0.18588,0.205668,5.586746,2.097921,-9.86349,-1.80395,5.959687,-0.55587,0.129644,1.14614,-1.00261,-0.42066
0,0.25,0.8,1.245211,0.258564,-0.69219,0.154889,8.326062,2.117024,-14.948,-0.491,8.693691,-4.61461,0.475579,5.455075,-1.39266,-1.96633
0,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0,0.5,0.2,0.9003948,0.1404409,-0.8850488,0.3215397,5.2743239,1.1010666,-11.267523,-1.0257556,13.890755,0.694394,-9.6373584,-1.0793186,2.8183906,0.5410929
0,0.5,0.4,1.005806,0.174087,-0.73226,0.305163,2.995194,1.207031,-1.94592,-0.67205,-3.26135,-1.06513,5.142457,1.144559,-2.03062,-0.36448
0,0.5,0.6,1.182601,0.227712,-1.10725,0.170117,3.962364,1.549947,-2.77813,-1.10512,-4.30973,-0.83337,7.277275,1.171706,-2.96482,-0.41945
0,0.5,0.8,1.383338,0.282011,-1.39003,0.083923,4.375578,1.725858,-3.73726,-1.53581,-2.54032,-0.06356,5.3036,0.500678,-2.09324,-0.19822
0,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0,1,0.2,1.2263282,0.2154786,-1.1608467,0.2441623,4.4744783,2.810782,-11.584231,-7.657458,17.811241,11.171413,-14.40825,-9.0053693,4.6998279,2.9542871
0,1,0.4,1.298948,0.2386246,-0.9978,0.1447774,1.947954,3.3198992,-1.30027,-9.2456599,-1.49401,13.823512,2.830623,-11.223715,-1.2126,3.6868232
0,1,0.6,1.397118,0.244587,-1.13484,0.532667,1.791874,0.593969,-0.42026,-0.03618,-2.86793,-2.01631,3.768548,2.216701,-1.4405,-0.77822
0,1,0.8,1.511701,0.270447,-1.32448,0.511328,1.756835,0.535744,-0.13379,-0.03273,-2.86293,-1.55702,3.295327,1.557097,-1.14124,-0.50946
0,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0,2,0.2,0.8463715,0.1395121,-1.0011024,0.0753999,4.0052312,3.1895604,-11.937181,-9.5540932,19.189548,14.214316,-16.039296,-11.649525,5.4674371,4.0073308
0,2,0.4,0.8570045,0.1436696,-1.0183085,0.0544018,3.9957306,3.2816127,-11.886878,-9.8164232,19.152747,14.610963,-16.04748,-11.942138,5.4801806,4.0907797
0,2,0.6,0.8839861,0.1504185,-1.076527,0.0478401,4.0774087,3.257996,-11.976171,-9.6921199,19.173189,14.370843,-15.996207,-11.736129,5.4501217,4.0258411
0,2,0.8,0.9033134,0.1458559,-0.9619755,0.2313881,2.85015,1.9882138,-7.6366897,-5.5546045,11.596116,7.4196069,-9.4828625,-5.8965053,3.2550163,2.0855563
0.01,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01,0.03125,0.2,0.2054741,0.0054195,2.5611013,0.2246517,-2.9596332,2.489612,3.1954661,-3.8089914,-2.6645031,3.8104646,1.2439888,-2.9072861,-0.3032678,0.9224626
0.01,0.03125,0.4,0.229424,0.015401,2.973813,0.251266,-3.36351,1.959342,3.38934,-0.85265,2.170068,-1.4031,-6.5149,1.665783,2.91537,-0.70087
0.01,0.03125,0.6,0.267497,0.0165544,3.177315,0.4538318,-2.77385,1.5394249,6.322913,0.5061319,-1.1128,0.6658622,-6.85125,-3.7799579,3.6651,1.8704652
0.01,0.03125,0.8,0.374733,0.043467,2.006346,0.128021,10.39928,4.702165,-28.7893,-6.79313,59.05812,12.19004,-62.1022,-13.9297,23.0333,5.34015
0.01,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01,0.0625,0.2,0.275968,0.0166925,2.0225739,0.21642,-0.6996063,2.5114777,-2.1721721,-4.0903645,3.8653975,4.4164183,-2.7105955,-3.4801215,0.6601162,1.1319557
0.01,0.0625,0.4,0.320299,0.027954,2.524597,0.295303,-2.17795,1.774076,2.473391,-0.51125,-1.23254,-1.84411,-0.6552,1.80253,0.4148,-0.65864
0.01,0.0625,0.6,0.382329,0.041127,3.274725,0.361116,-4.89761,2.365671,14.49956,-2.19312,-20.2053,2.045588,11.98139,-2.43658,-2.71012,0.91744
0.01,0.0625,0.8,0.55406,0.083603,2.862062,0.431877,3.577467,3.251222,-5.45057,-2.7789,6.153719,1.794375,-9.45865,-2.75188,4.85155,1.34333
0.01,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01,0.125,0.2,0.4048264,0.0464705,1.1578449,0.0041545,1.6197884,4.0262527,-5.7295006,-9.5703182,6.9227475,13.562839,-4.2148411,-10.666035,1.0309624,3.297339
0.01,0.125,0.4,0.479184,0.051142,1.387011,0.253493,1.57423,1.990662,-5.02316,-1.39814,5.752178,-0.67946,-3.48995,0.90272,0.81819,-0.30714
0.01,0.125,0.6,0.609653,0.091266,1.775412,0.27901,0.732959,2.649609,0.212629,-3.35626,-5.21663,2.555822,6.00343,-1.84361,-2.20921,0.5793
0.01,0.125,0.8,0.840223,0.151326,1.517734,0.315026,5.237891,3.046936,-8.41863,-2.69137,-0.24645,-1.29041,5.934642,2.59957,-2.6149,-1.04075
0.01,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01,0.25,0.2,0.6001162,0.0826855,0.1425199,0.2816842,4.5757413,1.7854964,-12.857132,-2.9045659,17.39066,3.1646698,-12.10612,-2.6210713,3.3854502,0.8899897
0.01,0.25,0.4,0.721458,0.102241,0.103365,0.258534,3.980646,1.692533,-7.60398,-1.29239,5.725155,-0.40455,-1.39175,0.565284,-0.21788,-0.16527
0.01,0.25,0.6,0.8959,0.15467,0.022979,0.234108,4.276585,1.850567,-6.03862,-1.12478,0.258951,-1.44028,4.381588,1.768987,-2.26774,-0.61438
0.01,0.25,0.8,1.084636,0.21634,0.618317,0.178319,-1.79056,1.869099,20.1534,0.236176,-50.3721,-5.3445,48.28967,5.754983,-16.3262,-2.01559
0.01,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0.01,0.5,0.2,0.8843656,0.1435544,-0.8825526,0.2047681,5.423776,1.9196249,-11.87636,-3.4935583,14.769862,4.1718932,-10.169874,-3.4276657,2.9324829,1.1625408
0.01,0.5,0.4,0.989701,0.164714,-0.67377,0.301019,2.931448,1.263535,-2.08703,-0.80872,-2.72948,-0.88191,4.559539,1.034915,-1.81836,-0.34611
0.01,0.5,0.6,1.147354,0.21277,-0.8992,0.226886,3.266979,1.429398,-2.00937,-1.05382,-3.69421,-0.6404,5.59656,0.873014,-2.15186,-0.29178
0.01,0.5,0.8,1.323908,0.253462,-1.07644,0.251553,3.131563,0.894412,-1.35941,0.418277,-4.39261,-2.26777,5.675619,1.728736,-2.00255,-0.48408
0.01,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0.01,1,0.2,1.2070754,0.2126878,-1.2221997,0.1592439,5.11119,3.4016275,-13.966446,-9.661059,22.144836,14.631958,-18.212527,-11.93936,5.990042,3.9249291
0.01,1,0.4,1.286695,0.234806,-0.91498,0.1500424,1.602502,3.2918536,-0.40648,-9.168294,-2.62978,13.723214,3.510927,-11.151448,-1.36809,3.6625083
0.01,1,0.6,1.387513,0.238452,-1.13421,0.524778,1.991228,0.699127,-1.19722,-0.4392,-1.36154,-1.1781,2.389841,1.423678,-0.97307,-0.50761
0.01,1,0.8,1.486398,0.260704,-1.2449,0.518678,1.632108,0.583282,-0.18864,-0.3285,-2.08544,-0.79394,2.231295,0.788112,-0.71768,-0.24722
0.01,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0.01,2,0.2,0.8004572,0.1279139,-0.9423051,0.0638427,3.8677945,3.2498718,-11.733659,-9.8213966,19.085447,14.739825,-16.027877,-12.074165,5.4594536,4.1253194
0.01,2,0.4,0.8282738,0.1412848,-0.2914582,0.0553372,-0.8469581,3.2844423,3.5453417,-9.8782715,-6.2544427,14.769556,4.8659458,-12.077829,-1.3264716,4.1273126
0.01,2,0.6,0.8574827,0.1482679,-0.358441,0.0191704,-0.7392613,3.472053,3.4427023,-10.498316,-6.287827,15.789419,4.9979448,-12.865211,-1.3881873,4.3570473
0.01,2,0.8,0.9080987,0.1513719,-0.9400711,0.0242499,2.7958615,3.4636042,-7.5701151,-10.591832,11.657561,15.792927,-9.6444073,-12.472688,3.3336215,4.0477749
0.01667,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01667,0.03125,0.2,0.2052101,0.0052759,2.5533693,0.2286923,-2.9267157,2.4404265,3.0534719,-3.6371264,-2.4121435,3.5390118,1.035793,-2.7186132,-0.2362885,0.8760317
0.01667,0.03125,0.4,0.2189337,0.0114659,3.1279004,0.2526547,-5.3775994,2.5727508,11.531042,-3.7773155,-12.856477,5.163866,6.2795553,-5.101455,-1.1577653,1.80206
0.01667,0.03125,0.6,0.263663,0.026491,3.006819,0.33828,-1.75957,2.191691,2.258403,-0.77962,5.448391,0.693634,-11.6174,-2.5355,4.99948,1.28727
0.01667,0.03125,0.8,0.321013,0.045955,2.819634,0.342756,2.341932,2.373047,-1.86803,0.805749,11.53755,0.788334,-20.5232,-5.89507,9.11518,3.18431
0.01667,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01667,0.0625,0.2,0.2755463,0.0166594,2.0190847,0.2184216,-0.7102131,2.4941038,-2.1466612,-4.0488103,3.8346488,4.3570043,-2.6931885,-3.4386099,0.6576969,1.1217193
0.01667,0.0625,0.4,0.318963,0.0288524,2.503638,0.28844,-2.1918,2.398584,2.589311,-3.2802142,-1.5926,3.5681601,-0.24606,-3.286298,0.26465,1.1551067
0.01667,0.0625,0.6,0.379861,0.044567,3.100939,0.356643,-3.99598,2.539662,11.50341,-2.77283,-15.7193,2.690583,8.941533,-2.77646,-1.93927,1.00506
0.01667,0.0625,0.8,0.525596,0.079831,2.806873,0.451532,2.760439,3.073319,-3.30793,-2.3711,2.613192,0.999114,-5.34754,-1.7909,2.98142,0.92393
0.01667,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01667,0.125,0.2,0.4044209,0.0463551,1.1520573,0.0048175,1.6383619,4.0171926,-5.7992049,-9.5540173,7.0395445,13.544104,-4.3026142,-10.652816,1.0557168,3.2935742
0.01667,0.125,0.4,0.474227,0.0684887,1.448654,0.0711241,0.944143,3.9201925,-2.78303,-8.9540416,1.868228,12.651466,-0.26276,-10.126277,-0.20642,3.1705597
0.01667,0.125,0.6,0.600774,0.091966,1.77948,0.273872,0.413254,2.695368,1.28385,-3.53879,-7.00747,2.755821,7.505663,-1.911,-2.69846,0.57898
0.01667,0.125,0.8,0.823688,0.150148,1.42438,0.311077,5.450441,3.073911,-9.35681,-2.92093,1.712267,-0.86515,4.494209,2.359321,-2.30859,-1.01796
0.01667,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01667,0.25,0.2,0.6006412,0.0823805,0.1200883,0.2845653,4.688941,1.7595773,-13.147636,-2.8182477,17.760233,3.0142764,-12.331467,-2.4926028,3.4379468,0.8479623
