t/Ri ,a/t,G0 inside,G1 inside,G2 inside,G3 inside,G4 inside,G0 outside,G1 outside,G2 outside,G3 outside,G4outside
0.001,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.001,0.2,1.362669,0.775768,0.577169,0.475763,0.405555,1.362492,0.77543,0.577078,0.475707,0.40532
0.001,0.4,2.107481,1.059637,0.734602,0.578123,0.483688,2.106159,1.059018,0.734066,0.5777,0.483457
0.001,0.6,4.023909,1.759944,1.112458,0.819725,0.660648,4.023909,1.759732,1.112458,0.819832,0.660479
0.001,0.8,11.68545,4.44755,2.518103,1.697986,1.278424,11.90919,4.532179,2.56558,1.730506,1.30138
0.00333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.00333,0.2,1.357654,0.772719,0.575074,0.47405,0.404119,1.357654,0.772836,0.57512,0.47405,0.404212
0.00333,0.4,2.098124,1.055171,0.731561,0.575621,0.481987,2.098131,1.05542,0.73174,0.575826,0.482184
0.00333,0.6,3.984819,1.744473,1.10346,0.813729,0.656089,3.988986,1.746621,1.104648,0.814588,0.656975
0.00333,0.8,11.43182,4.361182,2.474754,1.671906,1.260057,11.41804,4.35619,2.471838,1.670314,1.258819
0.01,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01,0.2,1.355721,0.772039,0.574618,0.473607,0.403962,1.355914,0.772205,0.574709,0.473663,0.404056
0.01,0.4,2.088097,1.051685,0.729765,0.574481,0.481203,2.086534,1.050936,0.729261,0.574252,0.480917
0.01,0.6,3.924228,1.722783,1.091988,0.806497,0.650855,3.923337,1.722585,1.091908,0.806497,0.650876
0.01,0.8,10.55482,4.054112,2.314531,1.572029,1.189801,10.53491,4.046475,2.309298,1.569106,1.187672
0.01667,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01667,0.2,1.353978,0.771359,0.574252,0.473441,0.403767,1.354559,0.771574,0.574391,0.473496,0.403822
0.01667,0.4,2.076759,1.04731,0.727245,0.57288,0.479971,2.075495,1.046684,0.726942,0.572615,0.479723
0.01667,0.6,3.85725,1.698243,1.078613,0.797885,0.644619,3.85861,1.698758,1.079099,0.798289,0.644759
0.01667,0.8,9.818255,3.796811,2.179989,1.488012,1.131273,9.81499,3.795084,2.177882,1.486756,1.130544
0.025,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.025,0.2,1.351845,0.770679,0.573795,0.473108,0.403649,1.352815,0.770943,0.573978,0.473214,0.403667
0.025,0.4,2.064088,1.042414,0.724534,0.571046,0.478588,2.05888,1.039137,0.721589,0.56869,0.477008
0.025,0.6,3.780308,1.670205,1.063426,0.788181,0.637578,3.783314,1.671252,1.064248,0.78882,0.637814
0.025,0.8,9.046439,3.526527,2.038831,1.400363,1.069409,9.072502,3.534701,2.042477,1.402231,1.070735
0.05,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.05,0.2,1.345621,0.768292,0.57256,0.472331,0.402984,1.348153,0.769051,0.572972,0.472583,0.403085
0.05,0.4,2.028188,1.028989,0.717256,0.566433,0.475028,2.028188,1.028734,0.717129,0.566281,0.474824
0.05,0.6,3.573882,1.594673,1.023108,0.762465,0.618437,3.584289,1.598763,1.025243,0.76384,0.619628
0.05,0.8,7.388754,2.946567,1.736182,1.211533,0.936978,7.522466,2.992945,1.760192,1.226597,0.947337
0.1,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.1,0.2,1.332691,0.763153,0.569758,0.470495,0.401459,1.338976,0.765213,0.57077,0.471069,0.40185
0.1,0.4,1.957764,1.002123,0.702473,0.556857,0.467621,1.964321,1.004607,0.703748,0.557628,0.468296
0.1,0.6,3.223438,1.466106,0.953655,0.718048,0.585672,3.270363,1.483681,0.963144,0.724069,0.590347
0.1,0.8,5.543784,2.300604,1.398958,1.000682,0.789201,5.839919,2.403771,1.452694,1.034485,0.812508
0.2,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.2,0.2,1.307452,0.753466,0.564298,0.466913,0.398757,1.324199,0.759716,0.567636,0.468987,0.400407
0.2,0.4,1.8332,0.954938,0.676408,0.539874,0.454785,1.861734,0.964913,0.681357,0.542909,0.457058
0.2,0.6,2.734052,1.28757,0.857474,0.656596,0.54072,2.864663,1.335823,0.883295,0.673156,0.553201
0.2,0.8,3.940906,1.739955,1.10621,0.81823,0.661258,4.412961,1.903704,1.19155,0.871484,0.697846
0.3333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.3333,0.2,1.276782,0.74217,0.558403,0.463081,0.359594,1.31062,0.755011,0.565121,0.467379,0.399359
0.3333,0.4,1.697454,0.903713,0.648337,0.521591,0.44082,1.768778,0.930197,0.662576,0.531192,0.447877
0.3333,0.6,2.343563,1.146104,0.781532,0.605006,0.505644,2.57684,1.231639,0.827059,0.637486,0.52742
0.3333,0.8,3.056124,1.430631,0.944773,0.717096,0.591403,3.652018,1.636477,1.051797,0.783771,0.636126
1,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
1,0.2,1.158826,0.69868,0.534893,0.447408,0.391564,1.285088,0.746435,0.560782,0.459361,0.397605
1,0.4,1.324233,0.763056,0.571186,0.471434,0.408975,1.582337,0.860502,0.624683,0.502572,0.429409
1,0.6,1.552523,0.856392,0.625411,0.508045,0.435872,2.029092,1.029167,0.717944,0.565019,0.47499
1,0.8,1.937307,1.039092,0.740258,0.589449,0.497688,2.778609,1.325214,0.886685,0.681558,0.561924
