t/Ri ,a/t,G0 inside,G1 inside,G2 inside,G3 inside,G4 inside,G0 outside,G1 outside,G2 outside,G3 outside,G4outside
1.5,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
1.5,0.2,1.095935,0.674192,0.521132,0.438343,0.385033,0,0,0,0,0
1.5,0.4,1.195441,0.714295,0.544247,0.453881,0.39642,0,0,0,0,0
1.5,0.6,1.36393,0.787606,0.588288,0.484241,0.419044,0,0,0,0,0
1.5,0.8,1.712406,0.960052,0.698716,0.563341,0.479524,0,0,0,0,0
2,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
2,0.2,1.050181,0.656452,0.511188,0.431805,0.38033,0,0,0,0,0
2,0.4,1.117793,0.684999,0.528081,0.443349,0.388885,0,0,0,0,0
2,0.6,1.260936,0.750026,0.567958,0.471166,0.409774,0,0,0,0,0
2,0.8,1.589273,0.916175,0.675351,0.548481,0.469075,0,0,0,0,0
2.5,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
2.5,0.2,1.015777,0.643173,0.503766,0.426933,0.37683,0,0,0,0,0
2.5,0.4,1.06626,0.665614,0.51739,0.436381,0.383896,0,0,0,0,0
2.5,0.6,1.195498,0.726062,0.554924,0.462733,0.40376,0,0,0,0,0
2.5,0.8,1.508842,0.88698,0.659542,0.538273,0.461798,0,0,0,0,0
3,0,1.12,0.682,0.5245,0.4404,0.379075,0,0,0,0,0
3,0.2,0.989094,0.632923,0.498052,0.423189,0.374143,0,0,0,0,0
3,0.4,1.02953,0.651825,0.509783,0.431415,0.380334,0,0,0,0,0
3,0.6,1.149572,0.709114,0.54562,0.456656,0.399385,0,0,0,0,0
3,0.8,1.450839,0.86553,0.647735,0.530539,0.456213,0,0,0,0,0
