t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A5, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0,0.03125,0.2,0.208076,0.0084834,3.0112422,0.2406767,-5.1048701,2.4574292,7.6348715,-3.6452421,-6.8347547,3.6142837,2.7940766,-2.8451814,-0.3882688,0.9270638
0,0.03125,0.4,0.235794,0.014514,3.08224,0.4038,-3.57921,1.64227,3.947689,-0.39061,1.913159,-0.64807,-6.88722,-0.29403,3.18968,0.25149
0,0.03125,0.6,0.290224,0.020889,3.689205,0.701678,-4.57391,0.163184,11.70989,5.707216,-6.375,-8.20758,-5.88941,3.456112,4.24524,-0.44547
0,0.03125,0.8,0.516355,0.082546,2.531083,0.497177,14.7129,4.606481,-43.6218,-7.33267,101.0657,21.14862,-116.081,-29.3451,46.1909,12.4914
0,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0,0.0625,0.2,0.2845892,0.0199077,2.2264055,0.2210874,-1.454619,2.4642047,-1.5760719,-3.5898625,5.1131083,3.1624039,-4.9485443,-2.240378,1.6207574,0.6965751
0,0.0625,0.4,0.326148,0.029412,2.520087,0.369937,-1.8847,1.922085,2.179874,-1.20715,-1.45971,-0.4394,-0.18865,0.273755,0.23934,-0.03952
0,0.0625,0.6,0.416633,0.059846,3.156647,0.434074,-2.62489,2.681156,7.732591,-3.19366,-9.69278,4.075372,3.64287,-4.69402,-0.0892,1.82855
0,0.0625,0.8,0.654014,0.121478,3.423192,0.697549,3.815805,2.971833,-4.15869,-1.30365,3.471533,-0.07549,-10.3104,-3.04651,6.628,2.167
0,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0,0.125,0.2,0.4242116,0.0429859,1.0089302,0.2033811,3.2973815,2.2563818,-12.159726,-2.875216,17.873386,1.8152558,-12.868668,-1.0512327,3.6281712,0.3181077
0,0.125,0.4,0.491777,0.063427,1.659232,0.37225,-0.10804,1.623167,0.179324,-0.53065,-2.70761,-2.00074,3.368062,1.894378,-1.34897,-0.58803
0,0.125,0.6,0.659182,0.111604,1.875914,0.47145,1.02126,1.794059,-1.7698,-0.75576,-0.56536,-1.49017,1.247996,1.085218,-0.43766,-0.21137
0,0.125,0.8,0.980933,0.203995,1.884632,0.480015,4.802078,2.882243,-8.05802,-2.58901,0.444785,-0.9683,3.477266,1.537237,-1.05675,-0.37502
0,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0,0.25,0.2,0.6385889,0.0840059,-0.3095132,0.1999367,6.5329787,1.8218113,-16.622882,-1.7756899,21.056641,0.3757186,-13.85012,-0.0785358,3.6988146,0.0643386
0,0.25,0.4,0.739042,0.11645,0.054816,0.247988,4.084262,1.828252,-7.58831,-1.71699,5.404753,0.191212,-1.01461,0.116577,-0.34834,-0.01861
0,0.25,0.6,0.946121,0.177805,-0.18588,0.205668,5.586746,2.097921,-9.86349,-1.80395,5.959687,-0.55587,0.129644,1.14614,-1.00261,-0.42066
0,0.25,0.8,1.245211,0.258564,-0.69219,0.154889,8.326062,2.117024,-14.948,-0.491,8.693691,-4.61461,0.475579,5.455075,-1.39266,-1.96633
0,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0,0.5,0.2,0.9003948,0.1404409,-0.8850488,0.3215397,5.2743239,1.1010666,-11.267523,-1.0257556,13.890755,0.694394,-9.6373584,-1.0793186,2.8183906,0.5410929
0,0.5,0.4,1.005806,0.174087,-0.73226,0.305163,2.995194,1.207031,-1.94592,-0.67205,-3.26135,-1.06513,5.142457,1.144559,-2.03062,-0.36448
0,0.5,0.6,1.182601,0.227712,-1.10725,0.170117,3.962364,1.549947,-2.77813,-1.10512,-4.30973,-0.83337,7.277275,1.171706,-2.96482,-0.41945
0,0.5,0.8,1.383338,0.282011,-1.39003,0.083923,4.375578,1.725858,-3.73726,-1.53581,-2.54032,-0.06356,5.3036,0.500678,-2.09324,-0.19822
0,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0,1,0.2,1.2263282,0.2154786,-1.1608467,0.2441623,4.4744783,2.810782,-11.584231,-7.657458,17.811241,11.171413,-14.40825,-9.0053693,4.6998279,2.9542871
0,1,0.4,1.298948,0.2386246,-0.9978,0.1447774,1.947954,3.3198992,-1.30027,-9.2456599,-1.49401,13.823512,2.830623,-11.223715,-1.2126,3.6868232
0,1,0.6,1.397118,0.244587,-1.13484,0.532667,1.791874,0.593969,-0.42026,-0.03618,-2.86793,-2.01631,3.768548,2.216701,-1.4405,-0.77822
0,1,0.8,1.511701,0.270447,-1.32448,0.511328,1.756835,0.535744,-0.13379,-0.03273,-2.86293,-1.55702,3.295327,1.557097,-1.14124,-0.50946
0,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0,2,0.2,0.8463715,0.1395121,-1.0011024,0.0753999,4.0052312,3.1895604,-11.937181,-9.5540932,19.189548,14.214316,-16.039296,-11.649525,5.4674371,4.0073308
0,2,0.4,0.8570045,0.1436696,-1.0183085,0.0544018,3.9957306,3.2816127,-11.886878,-9.8164232,19.152747,14.610963,-16.04748,-11.942138,5.4801806,4.0907797
0,2,0.6,0.8839861,0.1504185,-1.076527,0.0478401,4.0774087,3.257996,-11.976171,-9.6921199,19.173189,14.370843,-15.996207,-11.736129,5.4501217,4.0258411
0,2,0.8,0.9033134,0.1458559,-0.9619755,0.2313881,2.85015,1.9882138,-7.6366897,-5.5546045,11.596116,7.4196069,-9.4828625,-5.8965053,3.2550163,2.0855563
0.01,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01,0.03125,0.2,0.2138782,0.0075736,2.4750252,0.234466,-1.2287668,2.4810298,-4.0075659,-3.7389842,10.335171,3.7733192,-9.5704005,-2.9707472,3.0927956,0.9655728
0.01,0.03125,0.4,0.232407,0.009069,3.053456,0.392929,-3.47918,1.658575,3.628804,-0.41953,2.853442,-0.46877,-7.86404,-0.48952,3.50801,0.30513
0.01,0.03125,0.6,0.270279,0.013548,3.674268,0.696643,-5.4506,-0.14238,14.67372,6.588859,-9.61388,-8.92489,-3.54698,3.951284,3.24025,-0.72754
0.01,0.03125,0.8,0.420163,0.045178,3.22276,0.866082,6.092687,0.678866,-21.407,3.143907,81.16587,9.882409,-105.684,-22.0588,42.3048,9.88179
0.01,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01,0.0625,0.2,0.3009539,0.0194819,1.7912734,0.2065054,0.8670775,2.6293195,-6.9946825,-4.3818393,11.455578,4.7973348,-8.5937165,-3.7470555,2.436099,1.2084547
0.01,0.0625,0.4,0.328052,0.026039,2.59019,0.461293,-2.18942,1.26298,2.345672,0.872011,-0.32053,-3.58211,-1.96182,2.602928,0.96962,-0.72336
0.01,0.0625,0.6,0.410317,0.055083,3.437316,0.536134,-4.72503,1.898106,14.02544,-0.68934,-17.0473,0.801483,7.43505,-2.6604,-0.83856,1.30663
0.01,0.0625,0.8,0.64916,0.117619,3.596224,0.752713,2.097024,2.422576,2.613164,0.907093,0.524741,-1.02572,-14.9133,-4.52243,9.60126,3.10168
0.01,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01,0.125,0.2,0.4148168,0.0483704,1.1474441,0.0169824,1.7284441,3.9147652,-6.1319982,-9.0442049,7.6187598,12.537266,-4.7707753,-9.779067,1.1968314,3.0128034
0.01,0.125,0.4,0.497299,0.062974,1.538266,0.382106,0.954369,1.582731,-3.44969,-0.39228,3.468701,-2.18325,-1.69869,2.001966,0.24303,-0.6135
0.01,0.125,0.6,0.661354,0.112733,1.908602,0.468187,0.983258,1.875459,-1.26322,-0.87961,-1.38634,-1.28837,1.768116,0.884725,-0.57155,-0.14386
0.01,0.125,0.8,0.99691,0.210536,1.963426,0.466131,4.863342,3.228224,-6.90464,-3.39264,-1.51482,0.484157,4.296328,0.039449,-1.03855,0.19745
0.01,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01,0.25,0.2,0.626051,0.090727,-0.2265274,0.1716775,6.9684962,2.5085021,-19.85786,-4.975866,27.709243,6.1431857,-19.572353,-4.7142903,5.4946193,1.4602442
0.01,0.25,0.4,0.74275,0.118366,0.047047,0.220292,4.201345,2.068115,-7.92403,-2.53513,5.91979,1.589297,-1.41763,-1.04033,-0.22539,0.34876
0.01,0.25,0.6,0.956789,0.18057,-0.17255,0.222646,5.636206,2.017202,-9.85805,-1.46299,5.806612,-1.18065,0.295818,1.668343,-1.06117,-0.58672
0.01,0.25,0.8,1.31001,0.265887,-1.4349,0.247431,14.3766,1.494264,-35.1681,1.791574,42.22156,-8.5849,-26.6115,8.677336,7.0832,-2.95768
0.01,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0.01,0.5,0.2,0.9074272,0.1495038,-1.0994201,0.1587994,6.7673813,2.2591841,-15.863097,-4.5394919,20.705328,5.7148362,-14.454389,-4.4982384,4.1256769,1.4410683
0.01,0.5,0.4,1.012539,0.17532,-0.75689,0.307337,3.131131,1.198038,-2.27527,-0.63404,-2.83879,-1.13251,4.866722,1.196838,-1.95909,-0.37937
0.01,0.5,0.6,1.195615,0.229205,-1.1378,0.206192,4.171844,1.330633,-3.37229,-0.45132,-3.44567,-1.81616,6.651209,1.892133,-2.78672,-0.62452
0.01,0.5,0.8,1.413989,0.289661,-1.49857,0.088203,5.065764,1.682758,-5.77038,-1.34905,0.49737,-0.43545,3.032912,0.825361,-1.41974,-0.30103
0.01,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0.01,1,0.2,1.2219944,0.215083,-1.2333687,0.1957502,5.0312977,3.1572284,-13.549512,-8.8200177,21.104009,13.041658,-16.993209,-10.425024,5.4694705,3.3649964
0.01,1,0.4,1.306977,0.218277,-1.02346,0.558399,2.035175,0.712363,-1.47905,-0.46284,-1.29704,-1.42737,2.722608,1.844368,-1.18904,-0.69171
0.01,1,0.6,1.411893,0.248631,-1.21285,0.507337,2.173169,0.768032,-1.42369,-0.63446,-1.48779,-0.98741,2.825799,1.361727,-1.18742,-0.505
0.01,1,0.8,1.532735,0.275943,-1.40571,0.499318,2.149327,0.57072,-1.2998,-0.09606,-1.05104,-1.52817,1.899606,1.584141,-0.7187,-0.52944
0.01,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0.01,2,0.2,0.8182987,0.1330319,-0.9750326,0.0540205,4.0974302,3.3490248,-12.658801,-10.173407,20.765368,15.321858,-17.441363,-12.541021,5.9109102,4.2720166
0.01,2,0.4,0.8343927,0.1361217,-0.335137,0.0308624,-0.7134755,3.4638886,3.3094161,-10.533385,-6.0713158,15.878401,4.8139372,-12.946378,-1.3245293,4.3843584
0.01,2,0.6,0.8600665,0.1467987,-0.354064,0.021503,-0.9003047,3.4602749,4.0339274,-10.477254,-7.2855701,15.776469,5.7801566,-12.882015,-1.6177453,4.3737291
0.01,2,0.8,0.917233,0.1497781,-1.0076975,0.0258058,3.0568469,3.3588241,-8.248271,-10.008896,12.62444,14.518295,-10.377963,-11.284278,3.5671701,3.6504092
0.01667,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01667,0.03125,0.2,0.2137018,0.0074964,2.4716292,0.2331584,-1.1955278,2.4891031,-4.1279147,-3.7654612,10.564513,3.8313393,-9.7724089,-3.0295323,3.1582282,0.9870984
0.01667,0.03125,0.4,0.230678,0.010938,3.038805,0.402017,-3.47288,1.543803,3.638567,-0.03837,2.907158,-1.04288,-7.92647,-0.05244,3.51884,0.16909
0.01667,0.03125,0.6,0.264712,0.018629,3.65577,0.659841,-5.54725,0.094435,14.5853,5.520558,-8.91296,-6.86889,-4.16618,2.30006,3.36682,-0.26058
0.01667,0.03125,0.8,0.391607,0.037786,3.582448,0.931452,2.46296,-0.03497,-10.9379,4.732139,63.87855,7.310553,-89.4185,-18.9855,36.1302,8.44785
0.01667,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01667,0.0625,0.2,0.285268,0.0189931,2.0769228,0.2154011,-0.9978735,2.5632146,-1.2931167,-4.1568147,2.6484224,4.4288027,-1.9164331,-3.4553431,0.4609809,1.1186828
0.01667,0.0625,0.4,0.328113,0.029232,2.390181,0.34244,-0.80958,2.120615,-1.42103,-1.81362,4.841563,0.649824,-5.43549,-0.65083,1.87918,0.24693
0.01667,0.0625,0.6,0.398379,0.053325,3.229895,0.454129,-3.56092,2.396477,11.58598,-2.09909,-14.5389,2.977382,6.478023,-4.26001,-0.85745,1.74061
0.01667,0.0625,0.8,0.607481,0.105717,3.500036,0.7235,1.932419,2.319473,4.007886,1.328679,-0.67674,-0.98334,-14.1704,-4.83843,9.13009,3.15757
0.01667,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01667,0.125,0.2,0.4148376,0.0483941,1.1488796,0.0166081,1.7244494,3.9196323,-6.109338,-9.0609034,7.5825708,12.573746,-4.7472976,-9.8159555,1.1912448,3.0261057
0.01667,0.125,0.4,0.499193,0.063863,1.492933,0.357719,1.318136,1.790387,-4.62221,-1.12505,5.402623,-0.89363,-3.25101,0.914649,0.72159,-0.26407
0.01667,0.125,0.6,0.659447,0.112346,1.951305,0.47698,0.703731,1.818037,-0.13288,-0.61671,-3.17905,-1.6918,3.088103,1.165388,-0.95715,-0.22296
0.01667,0.125,0.8,0.998626,0.210564,2.002529,0.500829,4.781095,3.005438,-6.07069,-2.39541,-2.3363,-1.03748,4.217571,1.041567,-0.81704,-0.05342
0.01667,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01667,0.25,0.2,0.6300329,0.090107,-0.2862567,0.1840622,7.3164619,2.4321564,-20.805174,-4.7467316,29.055169,5.7958716,-20.534766,-4.4552013,5.7677852,1.3845027
0.01667,0.25,0.4,0.745785,0.118295,0.006695,0.232483,4.517144,1.968253,-8.9481,-2.14568,7.588564,0.87392,-2.74058,-0.4224,0.17924,0.14616
